ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMAS,FULLSTOPS,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
20,25,0,95,14,51,19,21,1,9,9,10,18,77.06,7.4,4.183257918552036,23.545454545454547,1.1215687990188599,1.0353343053297563,0
49,50,0,123,11,92,41,40,6,10,17,8,35,72.56,7.0,4.503095975232198,17.928571428571427,1.0495797395706177,1.0052583584418664,0
35,41,0,139,10,130,47,47,6,17,10,20,44,81.83,5.5,4.073170731707317,18.354166666666668,1.085372805595398,1.0139683714279761,0
28,9,0,85,8,57,33,23,0,6,9,3,11,63.59,8.4,5.1442542787286065,20.695652173913043,1.0506671667099,1.0324828054593957,0
51,22,0,210,21,135,61,44,2,17,26,32,63,59.23,10.1,4.7044989775051125,24.782608695652176,1.1232953071594238,1.0113571882247925,0
43,29,0,139,4,101,26,39,3,15,14,11,30,71.34,7.5,4.44179523141655,20.974358974358974,1.05788254737854,1.0196575444677602,0
46,35,0,163,13,147,50,51,2,19,15,24,22,79.9,6.3,4.1047409040793825,20.5,1.0616718530654907,1.1010569539563408,0
19,6,0,72,13,33,19,13,2,7,11,13,24,53.81,10.1,5.029325513196481,29.615384615384617,1.033862829208374,1.0829341686688936,0
22,17,0,102,12,77,32,32,2,11,7,7,17,72.05,7.2,4.35673624288425,19.5,1.0698946714401245,1.02747977238435,0
26,6,0,84,10,43,26,15,13,12,0,9,15,59.64,9.9,4.56824512534819,28.2,1.0632883310317993,1.0571274201075236,0
51,27,0,150,11,92,50,26,3,10,21,20,63,55.88,11.4,4.755332496863237,35.23076923076923,1.0816397666931152,1.0556027063956628,0
37,6,0,163,68,76,24,31,6,17,27,13,21,59.33,10.0,4.698315467075038,15.122448979591837,1.1248066425323486,1.0182388692066586,0
14,8,0,42,15,32,16,12,4,7,9,1,11,65.76,9.6,4.593333333333334,28.25,1.061772346496582,1.027795324722926,0
13,5,0,49,5,36,13,13,1,4,4,2,7,63.59,8.4,5.117903930131004,19.923076923076923,1.1065958738327026,1.050181691463177,0
50,33,0,164,16,100,44,38,3,24,14,19,51,68.7,8.5,4.546044098573281,23.5,1.0508557558059692,1.0493935573668707,0
11,7,0,56,9,38,13,12,3,9,7,6,17,52.39,10.6,4.805555555555555,24.0,1.0528740882873535,1.0293133854866028,0
26,10,0,100,1,48,21,17,3,7,10,12,38,70.43,7.8,4.447368421052632,26.842105263157894,1.0783367156982422,1.128241068787045,0
37,17,0,157,10,69,28,26,1,9,17,22,32,60.75,9.5,5.054187192118227,25.48148148148148,1.0691922903060913,1.055855813779329,0
17,6,0,59,7,39,10,11,0,7,7,3,15,55.88,11.4,4.815094339622641,27.363636363636363,1.099941611289978,1.0777876377105713,0
34,14,0,170,13,124,43,42,6,20,11,23,44,64.41,8.1,4.7775,21.627906976744185,1.0919086933135986,1.0778541224343436,0
