ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMAS,FULLSTOPS,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
11,3,0,24,0,10,5,4,0,3,4,4,10,38.35,13.9,5.278350515463917,26.5,1.19809091091156,1.286676824092865,0
6,2,0,7,0,6,2,2,0,1,2,1,4,52.19,10.7,5.0,21.0,1.4369200468063354,1.2610487341880798,0
3,0,0,3,0,0,0,1,0,1,0,1,1,68.77,6.4,5.545454545454546,14.0,1.0542511940002441,1.0542511940002441,0
12,3,0,18,1,7,1,3,2,1,0,1,5,42.0,12.5,5.415384615384616,25.0,1.2178750038146973,1.0598384539286296,0
12,5,0,34,0,14,8,6,1,0,0,1,6,28.33,13.7,6.224299065420561,20.666666666666668,1.1993961334228516,1.0966361959775288,0
5,1,0,6,0,4,2,1,0,2,1,0,1,25.12,17.0,5.275862068965517,32.0,1.6579078435897827,1.6579078435897827,0
14,4,0,34,1,8,5,2,0,1,3,6,2,1.94,23.8,5.9772727272727275,48.0,1.1962453126907349,1.3896108865737915,0
9,0,0,27,0,7,3,3,1,1,3,4,3,23.05,15.7,5.768115942028985,25.333333333333332,1.3128337860107422,1.255971868832906,0
4,0,0,4,0,2,0,1,0,0,1,0,1,22.41,13.9,6.333333333333333,16.0,1.0116376876831055,1.0116376876831055,0
11,2,0,13,1,3,0,3,1,1,1,2,4,54.52,9.8,4.9411764705882355,18.333333333333332,1.5026423931121826,1.102271278699239,0
4,2,0,24,0,5,1,2,0,0,2,1,1,34.09,15.6,5.491228070175438,30.0,1.4197981357574463,1.0620178580284119,0
5,1,0,13,0,8,3,2,0,2,0,0,0,-0.1,18.4,6.365853658536586,23.0,1.3045756816864014,1.2136324048042297,0
2,1,0,11,0,6,1,2,0,0,3,2,1,43.22,12.1,5.125,22.0,1.369749903678894,1.004992663860321,0
5,0,0,20,1,6,1,3,2,0,0,2,2,30.16,13.0,5.551020408163265,19.0,1.5109714269638062,1.3830987612406414,0
4,3,0,14,0,3,0,2,0,1,1,0,0,28.84,13.5,6.117647058823529,18.5,2.127546787261963,2.0218634605407715,0
6,0,0,4,0,1,0,1,0,1,1,0,0,20.38,14.6,6.235294117647059,18.0,1.0092875957489014,1.0092875957489014,0
8,1,0,20,0,5,1,3,2,2,5,1,5,48.43,12.1,4.746478873239437,25.666666666666668,1.1913992166519165,1.0031821330388386,0
2,0,0,6,0,2,0,1,0,0,1,0,0,47.79,10.3,5.933333333333334,16.0,1.0209736824035645,1.0209736824035645,0
2,1,0,3,0,2,0,1,0,1,1,0,0,62.68,8.7,5.352941176470588,18.0,1.0128120183944702,1.0128120183944702,0
10,0,0,8,0,4,0,2,0,0,2,1,1,4.98,16.4,6.59375,17.5,1.3230462074279785,1.0037189722061157,0
