ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMAS,FULLSTOPS,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
33,31,0,92,16,61,59,16,0,14,7,7,19,73.61,8.7,3.9743589743589745,30.95,1.1519187688827515,1.1439171507954597,0
51,41,0,130,3,82,38,45,0,15,9,21,44,84.78,4.4,4.385630498533724,14.362068965517242,1.1201443672180176,1.1965813321225784,0
25,14,0,48,0,35,17,16,0,8,6,10,12,79.9,6.3,4.21978021978022,19.125,1.2006667852401733,1.0508574768900871,0
25,35,0,58,2,59,38,19,0,6,4,3,18,80.72,6.0,4.1457286432160805,17.214285714285715,1.1212775707244873,1.0801479242466114,0
35,20,0,63,1,56,16,24,0,11,1,5,9,83.46,4.9,4.57910447761194,15.08,1.3204097747802734,1.06644926071167,0
28,26,0,56,0,41,21,26,0,10,3,7,5,85.79,4.0,4.110062893081761,11.606060606060606,1.157267689704895,1.180797082005125,0
59,41,0,165,3,88,50,50,1,12,13,6,41,92.42,3.5,4.145228215767635,12.971830985915492,1.0717339515686035,1.0447311788797378,0
38,49,0,133,3,100,57,51,7,11,6,7,29,86.6,3.7,4.300287356321839,11.048192771084338,1.157658338546753,1.074509393337161,0
53,41,0,172,7,167,54,99,3,22,8,10,35,96.08,2.1,4.004040404040404,11.053571428571429,1.1269786357879639,1.0551597356796265,0
35,14,0,96,1,65,28,24,1,3,7,13,24,69.72,8.1,4.423611111111111,19.26923076923077,1.1484864950180054,1.0737226295471192,0
51,33,0,159,2,127,55,66,3,19,10,13,48,77.33,5.2,4.61704834605598,12.584415584415584,1.1260967254638672,1.0590598929312922,0
37,36,0,96,8,78,36,32,0,19,4,12,24,83.25,5.0,4.3641509433962264,15.925,1.0357109308242798,1.0505639389157295,0
22,20,0,90,1,70,42,30,5,8,3,11,19,83.76,4.8,4.3931818181818185,15.38888888888889,1.1147416830062866,1.3768645695277624,0
65,61,0,106,3,121,50,53,6,9,10,15,33,83.46,4.9,4.2374839537869065,14.967213114754099,1.0956941843032837,1.2009016772111256,0
38,14,0,80,2,43,24,12,0,10,6,8,14,50.4,13.5,4.641833810888252,32.25,1.2078009843826294,1.2597095370292664,0
28,33,0,43,5,92,30,62,0,6,3,5,6,96.08,2.1,3.5755395683453237,10.548387096774194,1.072221040725708,1.018848248890468,0
13,24,0,56,1,34,15,22,0,8,8,9,9,78.35,4.8,4.330065359477124,11.878787878787879,1.0787678956985474,1.0115518324515398,0
34,26,0,83,4,100,28,47,4,9,5,12,12,86.5,3.7,4.067590987868284,12.10344827586207,1.1650521755218506,1.134276615248786,0
9,41,0,58,2,78,23,0,1,7,1,4,16,89.14,2.7,3.94639175257732,12.625,1.0981374979019165,1.0157513618469238,0
112,157,0,276,13,269,120,121,13,36,14,32,83,84.07,4.7,4.01460248783126,14.972602739726028,1.0785045623779297,1.0309838417804602,0
30,25,0,79,5,64,7,42,2,11,2,8,15,79.36,4.4,4.217391304347826,10.88679245283019,1.140665888786316,1.0514591067445045,0
39,18,0,88,6,110,52,65,3,12,5,17,39,77.53,5.1,4.376899696048632,12.716216216216216,1.1073108911514282,1.4624194502830505,0
21,32,0,40,2,41,19,18,0,1,4,4,11,83.25,5.0,4.003257328990228,15.608695652173912,1.0763323307037354,1.077716737985611,0
19,22,0,52,4,57,23,25,2,5,4,1,6,84.98,4.3,4.056338028169014,13.818181818181818,1.0579211711883545,1.0717087107546188,0
44,14,0,116,10,63,37,30,13,24,7,13,25,71.65,7.4,4.446124763705104,20.433333333333334,1.1048433780670166,1.0223061561584472,0
21,25,0,59,0,55,23,28,0,5,2,7,22,101.19,2.2,3.6988950276243093,14.166666666666666,1.0525119304656982,1.056738801797231,0
30,29,0,62,1,66,11,35,1,9,4,7,20,84.98,4.3,4.113163972286374,12.0,1.0694966316223145,1.125701482703046,0
104,83,0,287,13,201,104,68,15,36,15,59,71,71.44,7.4,4.647679324894515,20.238636363636363,1.0887621641159058,1.0862651438940139,0
32,8,0,101,4,58,8,26,0,12,3,22,46,89.58,4.6,4.160919540229885,17.59259259259259,1.0886174440383911,1.027595427301195,0
122,94,0,316,19,277,58,119,12,34,16,31,94,82.65,5.2,3.9560209424083768,16.043795620437955,1.0814170837402344,1.0162203357769892,0
40,16,0,79,1,67,27,24,0,7,1,12,18,63.7,8.4,4.833333333333333,17.708333333333332,1.151895523071289,1.0627729545036952,0
32,56,0,122,4,115,56,41,8,7,11,5,50,93.03,3.3,4.053370786516854,14.89655172413793,1.138447880744934,1.3612946061527027,0
26,36,0,87,2,111,44,45,0,10,6,8,28,92.02,3.7,3.888888888888889,14.019607843137255,1.1651512384414673,1.1589197284645505,0
41,25,0,103,2,85,29,55,2,15,9,6,19,87.21,3.5,4.122935779816514,10.698412698412698,1.0534999370574951,1.1315547726875128,0
51,34,0,96,1,73,51,26,2,15,4,15,24,81.43,5.7,4.329608938547486,21.333333333333332,1.1239408254623413,1.058269162972768,0
16,28,0,37,1,48,17,30,0,3,0,1,11,86.5,3.7,4.059016393442623,10.794117647058824,1.0620903968811035,1.1228589205180897,0
106,87,0,370,17,264,137,66,0,35,21,36,75,74.73,8.3,4.239093484419263,24.325301204819276,1.1780654191970825,1.0899580240249633,0
20,25,0,65,1,60,26,35,2,12,3,1,13,94.86,2.6,3.8520179372197307,11.824561403508772,1.0592602491378784,1.067479277198965,0
35,36,0,67,3,72,11,42,0,12,4,4,7,87.01,3.5,3.8599137931034484,11.041666666666666,1.0700573921203613,1.0008453597193179,0
60,70,0,184,9,152,0,0,0,13,19,22,77,-1005.1,425.2,3.903225806451613,50.72727272727273,1.1699244976043701,1.0501964290936787,0
28,32,0,100,7,67,37,22,1,10,10,10,25,76.25,7.7,4.38508064516129,23.666666666666668,1.1050240993499756,1.0233411221277147,0
7,19,0,43,0,38,15,12,1,5,3,6,10,79.7,6.3,4.331932773109243,22.5,1.161575198173523,1.086353953068073,0
22,13,0,49,0,55,16,28,0,4,3,4,11,86.91,3.6,4.016949152542373,11.724137931034482,1.2714042663574219,1.4040499678973495,0
31,37,0,128,15,118,37,64,2,14,6,9,34,87.82,3.2,4.129395218002813,9.782608695652174,1.061070203781128,1.0133623608521052,0
35,37,0,149,2,82,46,29,2,8,7,46,51,74.73,8.3,4.316666666666666,24.933333333333334,1.192050814628601,1.116112989537856,0
42,25,0,85,2,81,12,59,0,6,8,13,24,87.92,3.2,4.2835820895522385,9.582089552238806,1.1910380125045776,1.1019099426269532,0
25,14,0,39,6,55,17,19,0,7,4,3,7,87.45,5.4,3.748633879781421,21.526315789473685,1.2122001647949219,1.1292463478289152,0
15,18,0,55,5,45,18,32,0,8,11,3,9,95.98,2.2,3.861111111111111,9.533333333333333,1.094368815422058,1.2129855102962919,0
45,38,0,115,2,108,38,41,0,11,10,8,33,80.62,6.0,4.426865671641791,17.837209302325583,1.1327704191207886,1.1247483766995943,0
59,80,0,164,6,189,78,106,6,16,5,18,32,87.42,3.4,4.085532302092812,11.260504201680673,1.087037444114685,1.0146204777385877,0
37,48,0,112,6,94,53,60,4,18,7,15,23,87.01,3.5,4.077809798270893,10.734939759036145,1.1198813915252686,1.0573048528872038,0
10,16,0,50,3,33,24,12,0,2,2,8,15,81.43,5.7,4.2844827586206895,18.066666666666666,1.0723832845687866,1.008449371655782,0
28,17,0,83,7,71,21,32,0,15,6,7,21,92.73,3.4,3.7331932773109244,12.104166666666666,1.0838369131088257,1.0482993364334106,0
67,67,0,268,6,274,88,149,1,26,6,22,102,86.1,3.9,4.291534054742202,11.660714285714286,1.1603389978408813,1.087287660302787,0
37,28,0,92,4,80,33,43,1,5,9,10,33,93.64,3.1,3.9888475836431225,13.8125,1.1172398328781128,1.0275268144905567,0
13,11,0,51,3,48,14,20,2,4,4,5,14,91.21,4.0,3.7419354838709675,15.666666666666666,1.1227939128875732,1.1668895199185325,0
22,18,0,83,4,54,14,37,0,6,6,12,16,86.2,3.8,4.294736842105263,11.64864864864865,1.080399751663208,1.059783655243951,0
103,103,0,275,17,215,39,67,1,52,19,23,37,84.61,6.5,3.898326898326898,19.60919540229885,1.2053078413009644,1.1362550908868962,0
27,25,0,69,3,57,12,17,0,9,6,5,23,81.53,5.6,3.979057591623037,16.84,1.1914572715759277,1.049413981437683,0
41,50,0,96,1,89,35,22,0,25,6,8,17,82.07,7.5,3.763458401305057,23.24137931034483,1.1548348665237427,1.1056660584041051,0
16,20,0,59,1,62,29,32,1,13,4,3,18,94.25,2.8,3.7718832891246685,12.54054054054054,1.1068395376205444,1.2841343783043526,0
14,25,0,31,3,47,17,16,0,7,3,3,6,92.42,3.5,3.6875,15.0,1.1435210704803467,1.069482574860255,0
55,52,0,120,4,127,33,66,1,15,8,17,24,85.39,4.2,3.91875,13.070422535211268,1.0595324039459229,1.001199673203861,0
39,47,0,95,8,86,38,49,3,12,10,12,24,84.88,4.4,4.049919484702094,13.357142857142858,1.1425319910049438,1.0755248911240523,0
10,19,0,36,4,48,25,27,2,2,2,3,8,87.82,3.2,4.291925465838509,11.61111111111111,1.14947509765625,1.606521775847987,0
21,26,0,59,2,59,15,57,8,11,3,5,8,97.6,1.5,3.650900900900901,7.532467532467533,1.1150518655776978,1.0744205625618206,0
27,37,0,100,0,80,20,23,2,4,5,8,36,77.06,7.4,4.509513742071881,20.84,1.0914219617843628,1.1331538341262124,0
11,8,0,29,4,39,4,17,1,7,3,5,12,92.42,3.5,3.84375,11.727272727272727,1.0657920837402344,1.0153526717966253,0
42,19,0,140,1,98,13,49,4,12,21,17,43,93.44,3.1,4.225225225225225,12.901639344262295,1.1028306484222412,1.1035028100013733,0
23,45,0,51,1,69,13,35,0,8,5,4,12,93.64,3.1,3.798099762470309,12.128205128205128,1.0746495723724365,1.042819558045803,0
37,25,0,76,0,80,39,37,2,8,4,7,7,84.57,4.5,4.159722222222222,12.619047619047619,1.120464563369751,1.074155428830315,0
39,51,0,106,2,106,40,33,1,15,5,15,46,88.57,5.0,4.093699515347335,17.875,1.0385057926177979,1.160699120883284,0
22,17,0,72,5,38,20,26,0,5,8,11,16,91.92,3.7,4.076023391812866,14.923076923076923,1.1891834735870361,1.053883208678319,0
40,41,0,106,2,75,18,68,1,17,6,14,9,87.62,3.3,4.141880341880342,9.202702702702704,1.1187001466751099,1.2149468247707074,0
70,50,0,164,3,140,48,70,2,18,10,14,29,84.17,4.6,4.092592592592593,13.807692307692308,1.085797667503357,1.0546487399509974,0
63,73,0,221,18,238,97,92,3,27,16,19,49,91.51,3.9,3.791851851851852,14.016949152542374,1.099638819694519,1.1077043857329931,0
24,9,0,40,0,42,16,25,2,6,2,4,6,87.42,3.4,4.147410358565737,10.928571428571429,1.1362807750701904,1.07143320781844,0
22,26,0,72,2,91,32,38,0,7,2,13,20,85.99,3.9,3.9981238273921202,11.5,1.0505740642547607,1.1540065156088934,0
41,41,0,114,4,81,19,26,2,22,6,12,26,67.28,9.0,4.336842105263158,22.607142857142858,1.1316014528274536,1.0922539177395048,0
19,24,0,40,1,28,12,19,1,4,5,4,9,71.51,5.3,4.596837944664031,8.076923076923077,1.2512261867523193,1.2186688796067848,0
74,109,0,222,7,167,78,97,1,39,11,24,42,84.68,4.4,3.8882854926299455,13.563636363636364,1.0874820947647095,1.1006779968738556,0
35,23,0,56,3,57,9,23,0,16,0,12,10,83.76,4.8,4.0488505747126435,14.444444444444445,1.1450227499008179,1.004879633585612,0
27,14,0,116,1,73,24,22,1,8,10,6,42,68.2,8.7,4.561555075593953,22.47826086956522,1.146544098854065,1.1334125020287253,0
36,22,0,113,3,68,30,21,7,4,8,15,33,65.96,9.5,4.541414141414141,26.636363636363637,1.1587797403335571,1.1183219313621522,0
40,32,0,119,2,117,37,43,0,20,8,12,26,82.65,5.2,4.211062590975255,15.018518518518519,1.1893260478973389,1.1285816695955064,0
47,32,0,139,8,77,60,23,8,14,13,14,38,60.79,11.5,4.4148148148148145,33.52173913043478,1.2288552522659302,1.179088905453682,0
65,71,0,156,13,140,68,79,1,20,9,25,62,76.93,5.3,4.196324951644101,11.847619047619048,1.093976616859436,1.089217082874195,0
51,51,0,242,7,176,40,88,0,18,13,30,66,84.68,4.4,4.413274336283186,13.295918367346939,1.0970256328582764,1.0779663120828025,0
29,38,0,87,3,98,28,42,0,11,6,17,28,92.83,3.4,3.83617747440273,13.895833333333334,1.16504967212677,1.0625895659128826,0
49,51,0,87,1,101,36,57,0,10,12,13,40,85.39,4.2,4.048342541436464,13.241935483870968,1.092461347579956,1.022912621498108,0
63,35,0,197,13,147,67,65,14,16,11,26,52,84.17,4.6,4.17175572519084,13.520408163265307,1.118171215057373,1.0965818497869704,0
37,57,0,103,7,101,42,52,0,20,9,7,27,94.86,2.6,3.73374613003096,10.971428571428572,1.0598129034042358,1.0293617321520436,0
6,10,0,40,2,42,14,14,0,5,3,1,10,79.3,6.5,3.958904109589041,18.071428571428573,1.1601271629333496,1.0394185100282942,0
64,29,0,115,3,73,28,36,8,18,3,15,26,74.19,6.4,4.586872586872587,15.58974358974359,1.0882622003555298,1.1303727269172668,0
19,28,0,87,0,79,29,30,0,5,6,6,36,81.73,5.6,4.503401360544218,15.057142857142857,1.1439727544784546,1.198442985934596,0
20,23,0,68,2,67,7,33,0,12,6,9,18,92.93,3.3,3.852731591448931,12.394736842105264,1.0712687969207764,1.1586317859197919,0
18,25,0,54,1,53,6,18,0,7,3,5,20,80.01,6.2,4.468852459016394,18.61111111111111,1.161088466644287,1.1237501031474064,0
11,13,0,44,0,39,8,22,0,5,3,6,15,94.56,2.7,3.923357664233577,10.7,1.1079249382019043,1.1152962724367776,0
88,87,0,242,13,200,105,98,4,41,15,31,63,83.36,4.9,4.044952100221076,15.407407407407407,1.131147027015686,1.0534226497014363,0
28,53,0,61,5,82,22,28,2,8,8,7,10,78.79,6.7,3.861003861003861,18.64516129032258,1.0499266386032104,1.0052340168219347,0
38,44,0,85,3,122,34,26,1,12,7,11,32,83.59,6.9,3.881057268722467,24.35483870967742,1.1591016054153442,1.0775905847549438,0
50,29,0,143,1,124,36,86,6,7,7,12,33,88.02,3.1,4.014686248331108,10.10989010989011,1.100253701210022,1.068235456943512,0
34,37,0,83,4,74,30,42,2,10,6,7,19,93.74,3.0,3.915151515151515,13.133333333333333,1.0804723501205444,1.0751658409833909,0
27,38,0,162,0,182,49,74,3,16,16,10,52,86.2,3.8,4.41743119266055,12.55813953488372,1.0392886400222778,1.1348935337293715,0
16,26,0,41,0,43,20,23,15,13,3,4,0,76.52,5.5,4.070671378091872,14.956521739130435,1.1215002536773682,1.1067648970562478,0
17,27,0,38,1,42,13,19,1,7,5,2,6,83.76,4.8,3.9928057553956835,13.91304347826087,1.068902611732483,1.1068932958271192,0
27,29,0,86,9,69,33,10,0,11,10,6,14,62.24,13.0,4.1193415637860085,26.19047619047619,1.1984286308288574,1.2855929334958394,0
30,67,0,68,3,105,50,46,5,9,7,7,12,92.32,3.6,3.7679127725856696,15.285714285714286,1.1475768089294434,1.0200222692181986,0
16,23,0,43,5,30,13,21,0,8,5,4,12,84.07,4.7,3.615686274509804,13.80952380952381,1.075836181640625,1.006332283928281,0
40,37,0,120,3,99,28,44,1,19,7,12,29,75.2,6.0,4.295345104333868,14.673469387755102,1.1338989734649658,1.0467764894167582,0
101,81,0,238,7,180,60,69,3,30,20,31,57,78.59,6.8,4.215250198570294,18.986666666666668,1.1543577909469604,1.1247036770770424,0
48,54,0,126,0,147,68,78,1,20,4,16,39,93.54,3.1,3.7535135135135134,12.857142857142858,1.1677922010421753,1.0886578888728702,0
64,70,0,170,8,236,42,116,1,20,14,15,38,96.48,2.0,3.766694146743611,9.87248322147651,1.2235255241394043,1.1869381686736797,0
44,49,0,135,7,120,57,54,0,9,10,14,32,85.59,4.1,4.083109919571045,14.784615384615385,1.0540926456451416,1.0141723155975342,0
67,75,0,206,20,215,69,75,8,24,13,23,41,84.37,4.5,4.081889763779528,13.552631578947368,1.0991337299346924,1.420790536650296,0
43,33,0,111,8,105,54,40,0,15,11,17,27,81.22,5.8,4.189710610932476,18.025,1.1129575967788696,1.0177134828908103,0
