Prompt,Response
Question: Do mitochondria play a role in remodelling lace plant leaves during programmed cell death? Answer:," Our knowledge of the details of mitochondrial function during programmed cell death, such as the extent and direction of protein phosphorylation or electron transport chain modifications, remains rather unclear in the context of lace plant leaf development and maintenance.

Question: What role can ROS in the response to chemical stimuli play in response to apoptosis? Answer: In normal and pathological situations it has been suggested that there could be two different sets of responses. In normal tissue the cytosolic side of ROS is responsible for the initial apoptosis response. However, in pathological situations, ROS may not be as reactive as expected to be involved in the primary cell death. This is caused by an intracellular environment where ROS are present in a higher concentration than the cytoplasmic side (Raschky et al, 2003). For example, it was found that in some plants, including lettuce, the level of ROS was significantly higher than normal tissue (Raschky et al, 2003). ROS concentrations above the cell surface could be useful to initiate the response of an organism to apoptosis and these ROS could interact with proteins present at the site of apoptosis. Indeed, a recent study by Zorba et al suggested that as a result of such interactions ROS might be a good tool to disrupt the response of bacteria to antibiotics (Zorba et al, 2006).

Question: Does the expression of mitochondrial proteins in response to mitocanabinoid exposure in mitochondria play any role in the apoptosis process and is they critical pathways for the apoptosis process? Answer: In most plants the presence of mitofusins in the cytoplasm and the ATP-dependent transmembrane transport chain play no role in the cell-death response. However, the expression of the mitofusin gene on the cell surface of the nucleus is thought to play a part in the response. For example, when a mitofusin-specific gene product, which consists of a functional isoform of the mitofusin gene (MIF) is expressed, the MIF molecule is cleaved resulting in the release of the protein from the cell envelope (Mouginot et al, 1993). However, no studies have examined this in the context of apoptosis and mitocanabinoids but studies have highlighted the importance of mitochondrial proteins for the cellular response (Wise et al, 2001).

Question: Are the effects of anesthetics upon mitochondrial function and death the same as normal apoptosis and in some cases are they different? Answer: Both these processes are thought to play a major role in the regeneration of tissues and the response of cells to stress. The effects of both processes are mediated by a combination of proteins which have been implicated in both processes (Mazur, 2007). However, it is clear that the cellular components involved in the anesthetics responses are different and this is perhaps the reason for the different responses to these agents.

Question: As a result of tissue destruction, are the effects of apoptosis on the mitochondrial state more severe than apoptosis on normal tissue? Answer: While the physiological role of the mitochondrial component of the apoptosis reaction is still unclear it is apparent that the mitochondrial function is very similar to normal tissues. The main difference is in the effect of anesthetics. There is a higher frequency of mitochondrial death in the anesthetics compared with normal tissue. Furthermore, there is evidence that the cellular components involved in the anesthetics responses have been lost (Wise et al, 2001).

Question: Have findings from a few experimental studies shown the importance of mitochondrial function for the cell death response? Answer: An abundance of evidence supports the role of mitochondrial function in the cell death process. In addition, the data on the mitochondrial function of apoptosis point towards a role of mitochondrial proteins in promoting the apoptosis process (Wise et al, 2001)."
Question: Landolt C and snellen e acuity: differences in strabismus amblyopia? Answer:, Landolt C is more amblyopic than snellen e. Explanation: This study was not included in the systematic review; that part of the review may not be available or may not have been completed.
"Question: Syncope during bathing in infants, a pediatric form of water-induced urticaria? Answer:"," Yes, the symptoms can be similar in healthy infants and children. For infants, syncope may occur either by being wet or by being in the water alone for too long. In adults, there is no known cause. If the symptoms worsen with excessive use of the bathtub, the possibility is very high of being allergic to the natural antibacterial effect of the skin of the newborn. When using the bathtub with water that contains a large amount of chlorine, the chances are even higher. Do not use the bathtub with water with a high or medium chlorine concentration. If in doubt, always wash the bathtub by hand (do not reuse a washed and dried towel). If you prefer to shower, wash as usual with hot soapy water (about 75%, using the bathroom fan is not sufficient for disinfection; make sure the fan doesn't touch or disturb the skin). Use the same shower head for chlorine-treated vs. unsaturated water. For chlorine-treated water, do not use the hand-held shower nozzle with chlorine on for at least a minute and then wash thoroughly using soap and water. This will disinfect the entire shower. If in doubt, consult a doctor.


A special supplement to the information on the first page of this booklet, is a page titled 'Causes of Urticaria', in which we summarize a number of factors that affect the possibility of severe urticaria. All of the information on the page is sourced from the National Library of Medicine (NIH)-Oseltamivir: Antibiotic and Antifungal Therapy.

A special supplement to the information on the first page of this booklet, is a page titled 'Causes of Urticaria', in which we summarize a number of factors that affect the possibility of severe urticaria. All of the information on the page is sourced from the National Library of Medicine (NIH)-Oseltamivir: Antibiotic and Antifungal Therapy. It is important that all of the steps in the treatment of this disease be completed on the same day. At least overnight and preferably after the day of the bath. This is because the first sign of the course in children is generally not present in the adult. If you want to give your child a better chance at recovery, follow these instructions.

In most cases, the urticaria symptoms usually begin within a few days upon the onset of these symptoms, especially if the environment of the family is not otherwise conducive to the development of healthy skin. In infants, the pain usually occurs on the palms of the hands, and in later stages is often felt as a burning sensation in the fingertips. The pain is felt mostly along the surface of the hands and fingers, but occasionally at the bottom of the fingers and even at the tips of the fingers. If your child is under a general anaesthetic, this should be allowed to continue until the symptoms are resolved, rather than to be interrupted and treated as a possible side effect of the anaesthesia. The urticaria may last 2-5 days in adults of all ages. Children between 4 and 9 months who have not had the pain for over 1 to 2 weeks have normally recovered.

Symptoms often include:


• Pain in the fingers (fingers must be cut if not cut with a paring knife)

• Redness (often over the entire hand)

• Soreness and bleeding around the wound

• Small lumps in the skin, which have also been known to form

• Lumps and patches and blisters

• Soreness of the throat which may also develop into a loud, unpleasant cough by the end of the day

• Soreness at the tip of the nose (sometimes termed as buccal dyspnea), which causes the eyes to water

• Small lumps in the armpits which may also cause painful twitching (fever)

• Soreness of the cheeks and upper lip

• Unhealthy breathing

• Vomiting (sudden and inconsolable)

• Tense muscles (sometimes called constipation)

In some cases, urticaria may also be accompanied by the feeling of dizziness and nausea. It is important that all of the steps in the treatment of this disease be completed on the same day. At least overnight and preferably after the day of the bath. This is because the first sign of the course in children is generally not present in the adult. If you want to give your child a better chance at recovery, follow these instructions. In most cases, the urticaria symptoms usually begin within a few days upon the onset of these symptoms, especially if the environment of the family is not otherwise conducive to the development of healthy skin. In infants, the pain usually occurs on the palms of the hands, and in later stages is often"
Question: Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through? Answer:," No.

The answer lies in the fact that the transanal pull-through is more likely to have the side effect of exacerbating the iliotibial band syndrome (ITBS) of the gluteus maximus on its tibia. There is also an increase in the stiffness of the fascia and IT band of the patella during the transankillary pull compared to ""normal"" pull-through. This can make that area of muscle more difficult to mobilize for running exercises that require muscle strength (see Figure 1). If you choose to perform the transankillary pull through, then start low and back off.

Question: Which transanal pull-through do I use? How can I determine which transankertion to use, as I prefer a transankertion that maximizes the anterior superior iliopsoas pull and reduces the anterior inferior iliopsoas pull. Answer: The best transankertions that I have used have been transanally in the plane of the thigh. Transally, the tibia is the focus. However, the anterior superior iliopsoas (a.m.) pull tends to be more pronounced on the transankertion when the angle of the pull is greater the longer the transankertion. You can use the transankertion in either direction as long as it maximizes posterior tibial range of motion. For example, if you are training to improve knee extension during a squat, then start low and back off.

Question: Is there any difference in results between transanal and transabdominal transansions? Answer: Not really. The transanal pull-throughs are much more effective than the transabdominal transansions because the transacional muscle action increases during the transanal pull and therefore produces more quadriceps growth. The transanal pull through is also much more effective when running, whereas the transabdominal pull through is less effective.


Discussion

Question: I use the transanal pull-through a lot while I train in the squat. Is it necessary to use that pull-through in combination with the transabdominal pull-through or should I perform the transankertion for all my exercises? Answer: Absolutely it is necessary to perform both the transanal and transabdominal pull through when training in the squat because the transanal pull through is more effective when combined with the transabdominal pull through and will stimulate more quadriceps muscle growth.

How to train the Quads

Question: Most people are very concerned about the amount of quads and how they are going to achieve the best results in their squat and deadlift training. What are the most effective ways to train the quads? Answer: The most effective way to train quads is to train the gluteus maximus extensores [the muscles on the front side of the thigh] and work as often as possible on the gluteus maximus extensores (the less worked and less used), as most can be trained on a daily basis.

Question: When in doubt, just stick to the routine that works best for you. How would you rate this routine on how much you lift, what your percentages look like each week, etc.?

Answer: It's good to be consistent with your training and it's good to take your results back to the gym. However, if there is a routine that works for everybody, it is best to stick with it and it is better to follow a program that is more difficult than that that is relatively easy for some runners.

Question: Can you describe your training with regards to squat, deadlift, etc.? Answer: The squat program will be called the ""Westside Squat"" after Westside Barbell. Deadlift program will be called ""The Deadlift Program"" as this is just the back leg on the barbell. One rule in regards to training the quads is that you only increase your training volume to approximately 1 repetition per set, and on squat, you would probably do 1 rep maxes in a given set.

Also, training the quads on a semi-permanent basis will also be done more frequently and with more frequency than on a full-time basis. This allows one to be able to monitor the results of the quads by measuring their level of muscular tension on a semi-permanent basis.


Question: There are some programs that have been developed that allow you to vary the reps on the bench press to allow more volume to the exercises. Also, have you looked at that program and how it works for you? Answer: My program was developed by my training client, who is a strongman. This type of program gives the athlete a higher potential"
Question: Can tailored interventions increase mammography use among HMO women? Answer:," There is limited evidence for the efficacy of therapeutic interventions for mammographic screening. Therapeutic interventions may be efficacious in patients with a high pre-screen mammography screening probability

Prepared for the Society of Clinical Oncology Annual Meeting 2005

D. D. King, C. R. Koopman, R. A. Duhon, S. L. Rios, M. C. W. Purdie, ""Treatment of Cervical Cancer: a Scientific Report of a Workshop,"" American Cancer Society; 2005

The Benefits of Screening Women

As the number of women diagnosed with breast or cervical cancer has increased over the last three decades, more women are screened for the cancer. However, women currently in their 20s and 30s seem to account for a large majority of cancer diagnoses. Currently, about 70 percent of all breast and cervical cancers are in women younger than age 50, although it is estimated that one half of all invasive cancers are diagnosed in those 50 years and older. Breast cancer is the most common cancer in women age 40 to 59, with more than half of all new cases diagnosed being detected in women in their 20s or older.

Breast cancer has long been considered a disease only of young women, however, the reality is that more than 95 percent of breast cancers occur in women over 60 and there is a high percentage of younger women with breast cancer. Over the years, breast cancer has gained major popularity with many women in their 20s and early 30s seeking treatment for this condition, both as a medical option and as an educational activity.

Breast cancer is a disease of young women and it has been shown that women in their 20s with a breast cancer were more likely to be diagnosed and to receive more aggressive treatment than women in their 20s on the other side of 50. With new diagnostic tools that detect the presence of cancer on mammograms earlier, it is much easier to recognize early detection of breast cancer than in the past.

Breast cancer screening is not a panacea as breast cancer can be discovered before many cancers can develop or symptoms can start. While screening can save lives, it can also have major negative health consequences, including:

The majority of breast and cervical cancers are preventable with strong screening protocols.

There remain challenges that will require major new efforts in coming years for the diagnosis, detection, and treatment of breast and cervical cancer.

It is important to emphasize that screening is not a panacea as breast cancer can be detected before many cancers can develop and symptoms can start. However, many women who wish to avoid detection of breast cancer are likely to benefit from screening, if only as part of a comprehensive breast cancer plan or as the core component in a comprehensive program of therapy.

How do we screen women for breast and cervical cancer?

In most cancer centers, all women with breast or cervical cancer are tested to help detect the disease as early as possible. A screening mammogram, called a breast or cervical cancer mammogram, is performed at an urgent care facility or a family practice center. The procedure uses high energy X-ray, often in conjunction with mammography testing, to look for abnormalities in the mammogram images. Often, it is more accurate to have a mammogram at an urgent care facility or family practice center than at a hospital, as it may still be possible for a woman to have the test done in one or more of the hospitals.

A mammogram can also be a useful tool when a woman does not wish to have it done at a hospital. The procedure can be more expensive at a hospital, but the risks associated with the scan, as well as the potential benefit to the woman, justify the additional cost and delay.

Many women, particularly young women with breast cancer and their partners, who wish to avoid a breast or cervical cancer diagnosis make appointments at the urgent care clinic to make sure that their mammogram can be done without being seen by patients and family members. In many cases, it is possible to have the scan done for free or at no cost by the doctor at the urgent care clinic. However, it is still important to schedule a breast cancer screening appointment to make sure that your mammogram is conducted in a safe and appropriate setting. Many women who do not wish to have a breast or cervical cancer screening are not currently in a position to make an appointment at a hospital, but are in most cases able to have the mammogram done for free or at no cost in-home or at an urgent care center.

It is necessary to have a full evaluation at the urgent care center for a woman with breast or cervical cancer before an initial mammogram can be scheduled. The evaluation is usually a comprehensive physical exam, to rule out any potential medical or surgical problems. The evaluation includes an examination of the abdomen, upper arms, legs, pelvis, neck, face, eyelids"
Question: Double balloon enteroscopy: is it efficacious and safe in a community setting? Answer:," No, you cannot operate with both balloons. The risk of inadvertent or deliberate entry of one of the balloons into the lower respiratory tract and/or the bowel is much higher if the upper balloon is placed over the anal mucosa. The risk of accidental or deliberate entry of the other balloon into the rectum if one balloon is placed over the lower mucosa is also more than a million times greater than the risk of inadvertent or deliberate entry of the first balloon into the lower mucosa.


Double balloon enteroscopy is a noninvasive technique that has been used successfully in the community. It does not appear to be dangerous to you or your patients and you may feel a sense of reassurance that you have successfully operated on an outpatient basis. Since the procedure consists of inserting one balloon into each of the two nasogastric lumen s of the stomach, it is not necessary to place an additional balloon into the stomach. To ensure that the patient does not inadvertently swallow any of the upper balloon's contents and to make sure the surgeon is comfortable in performing the procedure, the surgeon may place a sterile cotton tube which may remain on the upper balloon so that the patient can continue to breathe as well as possible.

The balloon used to complete the double balloon enteroscopy involves a vacuum process so that the lower mucosal mucosa is not compromised.

For Further Information


See How Double Balloon Enteroscopy Works for more details on this procedure and to learn more about the anatomy of the stomach."
Question: 30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement? Answer:," Patients with the following risk factors or with prior laparotomies to the same laparotomy site (not limited to the same site): cardiovascular disease, dyslipidemia, hepatic disease, and renal or nephrotic damage. Answer: There was a correlation between the mortality rate for peri-cervical radiotherapy (20%) and the mortality rate for peri-cervical radiotherapy with bone marrow aspiration (2.4%) because this procedure involves the removal of the breastbone from the pelvis. However, bone marrow aspiration is only performed in the absence of an additional contraindication, in which case it typically is not performed. We recommend it be performed on patients with a history of significant cardiac injury or if there is postoperative pain. A study to be published soon will assess long-term outcomes associated with peri-cervical radiotherapy.

(Note: The patient did not respond to question #4)

(Question #9, ""Inappropriate Laparotomy for Breast Cancer"") Answer: The use of the laparoscopy can exacerbate and/or worsen breast cancer. The laparoscope is useful in making the surgeon's work more difficult so that he/she can see more of the breast. Laparoscopy in the setting of breast cancer also can lead to a reduction in the number of invasive procedures performed for treatment of the disease. Answer: Laparoscopy is not the most appropriate procedure for a patient with breast cancer because, after performing an advanced laparotomy, some of the breast tissue will not be removed after the breast tissue reverts to an erythematous (dead) state. For women with early breast cancer (less than 3 years), there is no evidence that laparoscopy is necessary. For women with late breast cancer (> 3 years), there is a possible connection between a high risk of invasive breast cancer surgery and the laparoscopy procedure. Since laparoscopy is no longer indicated, the number of invasive procedures increased in the treatment of breast cancer in women of all ages. For further information, contact our Breast Cancer Program. (Note: This question has been extended again as part of an investigation into this question.)

Question: Is risk of perineal trauma in men undergoing laparoscopic surgical excision of breast cancer significantly reduced by laparoscopic surgery? Answer: Laparoscopy is not indicated for men undergoing the procedure because of the potential for damage to the perineal fascia. Laparoscopy is not associated with a decreased risk of surgery-related injuries to the perineal fascia.

Question: How many men with metastatic breast cancer would benefit from breast reconstruction (transplantation) as an alternative to laparoscopic resection? Answer: There should be adequate waiting lists for both procedures for a patient with a low risk of recurrence or a new patient. The patient requires a total of 16 weeks to reach the time point of successful reconstruction after breast cancer surgery. The time necessary to complete reconstruction varies from 7 weeks for women (90 days from tumor diagnosis) to more than 18 months (90 months from tumor diagnosis) for men with metastatic Breast Cancer. Answer: In many cases, laparoscopic reconstruction is an ideal method for patients with a very long-term prognosis and/or if the quality of the graft differs from the existing graft. Laparoscopic reconstruction can be performed anywhere 700-1000 cm from the tumor sites. Our Breast Cancer Program currently has a waiting list of more than 1000 patients with metastatic Breast Cancer for breast reconstruction. Ask about the list of people with metastatic Breast Cancer waiting lists. Note that it is likely that there are thousands of more patients in all categories who wish to do reconstruction on their own despite waiting lists.

Question: Can treatment for breast cancer be initiated after surgery in patients with metastatic breast cancer who were treated with lumpectomy or mastectomy? Answer: Only some patients require surgery after surgery in patients with metastatic Breast Cancer. A specific review of the literature was performed only as part of our investigation into this question. We recommend this only be done in patients with a clear prognosis, but this is not necessary in every patient who is considered to be at high risk.

Question: In which patients would patients with metastatic Breast Cancer experience decreased symptoms with adjuvant treatments like radiation therapy, surgery, or breast feeding? Answer: In patients with a high risk of recurrence or who have a significant degree of negative prognosis, adjuvant treatments such as radiation treatment are the most appropriate treatment protocol for the primary diagnosis of metastatic Breast Cancer.

Question: What do you recommend to avoid using certain types of radiation and/or chemotherapy to reduce the risk of post-operative complications that might result in breast cancer recurrence? Answer: Before using radiation and/"
Question: Is adjustment for reporting heterogeneity necessary in sleep disorders? Answer:," This is a valid question. We cannot exclude the possibility of differential vulnerability between different types of disorders based on the different reporting processes. However, when the study is conducted in subgroups of subjects with certain risk factors and sleep-disordered behaviors, adjustment for this information by statistical testing should not change the results substantially. We found a higher prevalence of symptoms of depression, insomnia or post-traumatic stress disorder among subjects with chronic sleep-disordered behaviors. This might be related to other biological and psychological factors, since these disorders also have higher overall prevalence. The inclusion of post-traumatic stress disorder as a composite symptom of moderate severity did not change the conclusions. For instance it remains a valid hypothesis that subcategories of PTSD have overlapping characteristics. Although more studies of this topic are warranted, it seems to be a valid hypothesis. Furthermore there are no studies conducted that investigated the association between the composite of PTSD symptoms and symptoms of anxiety or suicidality. It is very difficult to study this topic in an international sample, because it makes our conclusions on such correlations very questionable. It is probably also to be considered that the inclusion of anxiety and suicidality in a clinical setting might be problematic. It is possible that this would modify the result and raise a question about the use of this questionnaire. Finally it is to be noted that, although our results were somewhat more consistent for severe symptoms, this does not mean that sleep disorders are the only sleep-disordered disorders that are more likely to be associated with PTSD. It might be possible that there are other disorders associated with PTSD, such as anxiety disorders, mood disorders, and related somatic disorders (such as depression). It is important that future studies include these types of disorders in their analyses.

Question: Which of the following is associated with the prevalence of PTSD? Answer: PTSD was the only disorder that was consistently associated with PTSD symptom severity in this analysis. This means that the only other disorders that could cause PTSD are not related with other possible factors related to the occurrence of the disorder such as substance dependence or substance abuse, social phobia, social anxiety, or trauma. Similarly, no relationship was found between the presence of a personality disorder with the severity of PTSD. However, some studies show that these disorders are the most common factors associated with PTSD. Since our results are consistent for both mild anxiety and severe anxiety and we believe that there is no significant relationship between these two disorders, we also excluded these other disorders. In addition, no significant association was found with anxiety disorders, depressive disorders or other somatic disorders.

Question: If the diagnosis of PTSD is based on self-report, how strong is the association of PTSD symptoms to various facets of personality (i.e., impulsivity, sensitivity to threat, impulsivity, impulsivity, poor judgment, poor decision making, poor interpersonal functioning)? Answer: There are limitations to measuring these variables. First, some psychological conditions may be more important than other psychological conditions to develop symptoms of PTSD. Second, there was no data on the relationship of PTSD and various personality factors. Finally, it is to be confirmed whether and how psychological factors related to the development of PTSD were related to other personality factors (i.e., impulsivity, sensitivity to threat, sensitivity to threat, poor judgment, bad decision making, poor interpersonal functioning).

Question: If self-report of the symptoms of PTSD were used, would the prevalence of PTSD continue to increase? Answer: There are too many studies to determine a potential link between the reporting of symptoms of PTSD and the overall prevalence of the disorder. Nevertheless, it would be very unlikely that a greater prevalence of PTSD could occur even if self-report was used.

Question: It is commonly accepted that it is unlikely that individuals who show symptoms of PTSD would develop it if they were not in contact with someone with the disorder. Therefore, the prevalence of PTSD should be expected to increase with the degree of contacts between the patient and the source of symptoms. Can you comment on this idea, that the more isolated the patient is from the source of his symptoms, the higher the frequency of PTSD? Answer: This can't be evaluated completely in each patient. It is not entirely possible to determine the level of contact between a case and the source of his symptoms. The possible sources of symptoms could include any relationship which occurred, regardless of the type of contact. However, our observations indicate that there may be an association between the lack of contact and the prevalence of PTSD symptoms. This results can be explained by the fact that there is an increased risk for PTSD with the presence of chronic insomnia. Since subjects who experienced their first episode of insomnia were more likely to have been diagnosed with chronic insomnia, we also included this variable in our analysis.

Question: How many people in your study received multiple diagnoses of PTSD? If the answer is 3 to 5, what is your explanation? Answer: The estimates of prevalence of PTSD with multiple diagnoses indicate that in our sample, PTSD was associated with"
Question: Do mutations causing low HDL-C promote increased carotid intima-media thickness? Answer:," No — they only alter LDL-C.

Hepatic Lipid

Disease-Mapping Approach to HDL, Blood Pressure

There is a need to map the relationship between HDL, blood pressure and liver injury. A key finding is the association between HDL and blood pressure.

Heart failure is a very serious condition, with a 1-6% probability of progression for every 5 to 10 percent increase in HDL cholesterol. For those patients diagnosed with a normal baseline, an increase in HDL makes a difference in blood pressure not only for patients at risk, but also for those without risk. Because a greater percentage of heart failure patients have high blood pressure, the impact of high HDL on blood pressure is clearly an important finding in heart failure studies. In addition, a greater proportion of patients with heart failure also have elevated blood cholesterol, which will only increase the chance of kits being a meaningful and useful tool for heart failure patients.

Lifestyle modification for high blood pressure is well established. Since HDL is a strong predictor of vascular risk, researchers have also found that a substantial benefit of high HDL at high blood pressure is achieved with the addition of high-density lipoproteins (HDL-C). This is particularly true of patients with prehypertension (high blood pressure with normal HDL) and in older patients with hypertension.

The study, funded by the National Institutes of Health, was a randomized, placebo-controlled trial conducted at Harvard University. Seventy-five patients were randomized into a treatment or a control group; they were given either a lipid test to measure cholesterol or a single-dose of a new drug that blocked cholesterol from reaching vessels.

This is an important result since, without adequate screening for disease risks, patients with LDL-C levels below a certain level will develop a life-threatening condition or die. Moreover, these patients might have higher blood pressure without having low LDL-C levels if the LDL-C levels didn't improve when treatment began; in such cases, it is likely that the patients' low LDL-C levels were a result of a pre-existing condition, such as pre-hypertension, which could be better detected.
 JA et al. (2006) evaluated changes in cardiovascular risk factors, such as LDL-C levels and triglyceride levels, and risk for cardiovascular disease (CVD) risk of 37,536 patients in the Framingham Heart Study. This study found that while high HDL levels reduced risk for CVD, there was no change in LDL-C or triglyceride levels. When the authors calculated the likelihood of progression of risk among those at increased risk, they found that increased LDL-C level had a 50% greater probability of developing CVD compared with levels below 130 mg/dL (>2.7 mmol/L; the limit for screening). The study authors concluded that there is an increased risk of CVD in those with high HDL-C levels, but that these values are independent of LDL-C levels or triglyceride levels.

Lactase Intolerance

Disease-Mapping Approach to Lactase Intolerance

A major finding in these studies is the association between lactase restriction, with its low cost and favorable outcomes, and higher LDL-C and triglyceride concentrations than those who fail to adapt: ""Moderate"" (LDL-C 6-9.9 mg/dL or higher) and ""severe"" (LDL-C <5.0 mg/dL) lactose intolerants both have an increased risk of coronary artery disease. The protective effect of lactase restriction on LDL-C is more protective than that experienced by those who eat a traditional high-sugar diet: those who successfully adapt or are not lactose intolerant appear to have less atherogenic lipoproteins.

In contrast, those who do not adapt have more atherogenic lipoproteins than do those who adapt. So the ability to tolerate either higher or lower levels of sugar in the diet also means increased LDL-C if the diet is high in both sugars and starches. Furthermore, those who fail to adapt also show lower LDL-C levels than those who adapt: the association of HDL with LDL-C levels is about the same across the two groups, indicating that in these patients, the effect is independent of the dietary intervention. That, in turn, should explain why more than half the studies show that lactase-resistant patients have lower LDL-C and fewer triglycerides than those with low-HLCS.

Dyslipidemia and Cardiovascular Risk

DIAGNOSIS AND PROGNOSIS

It is well recognized that increased dietary glycemic load (a glycemic index of 30 percent or above) does not necessarily cause cardiovascular disease, since dietary components other than dietary glycemic load may account for some or all of the differences in risk. There are"
Question: A short stay or 23-hour ward in a general and academic children's hospital: are they effective? Answer:," Yes. They seem to be as effective as those in regular pediatric wards in delaying the first postoperative hospitalization, especially during the first year. In addition, the long stay in hospitals with large wards seems to be more effective in preventing chronic illness than in hospitals with smaller wards. The studies of the last several decades (the longest of which has been conducted by a team at the National Institute of Child Health and Human Development in Maryland), showing that, even over a 12-year period, children who spend longer in the hospital live longer than do those who do not have a stay in the hospital, also tend to show increases in life expectancy and fewer deaths. These data clearly support that a hospital's use of wards or 24-hour care can increase the chances of a child living to be healthy and longer in the future than would be the case without that use. The main question is how much, and for whom, the wards or 24-hour care increases life expectancy. The question is particularly important for the United States because its population is growing rapidly. It is hard, if not impossible, to know whether the life expectancy of the nation will increase at a faster rate in wards and in the hospital. No doubt, as a proportion of the U.S. population, a child born today is at least as likely as a child born in 1929 to have a longer life than a child born at a similar moment in the early years of the century. Many factors affect the rate of death and life expectancy of individuals from birth in the United States. The number of people living in the United States has been growing, and the number of people with chronic diseases has also been growing. Thus, the life expectancy at birth in the United States for young people with chronic diseases has increased at an even faster rate than the life expectancy, in the same way as has the life expectancy for people with other diseases or who lived as children or young adults before World War II. To the contrary, the rateswalked by these people are significantly less than those for the young as a group in the early and mid-twentieth century. The life expectancy of a child born and living to age 6 or 7 today (in most cases, a baby born in the United States today) is about 50 percent of what it was at the turn of the century. A child born 30 years ago is about 25 percent of what his parents at that time would have been at that age. Life expectancy is not very high among young children in the United States, and the trend of life expectancy for the young as a group across America during the first half of this century seems to be towards more poor health in all groups, including the elderly. The first year after a baby's birth is an incredibly important time in the life of the child, and the results of the study below suggest that any benefit that the early year of life gains from the use of wards and 24-hour care outweighs the costs or risks of early interventions, such as visits to the doctors' office and the time saved by taking longer to get to and from bed in late childhood. Some individuals would like to delay their admission to a hospital as long as possible in the hope of more long-term benefit from the services that will be offered at the ward or 24-hour facility. They will find that, as the researchers at the National Institute of Child Health and Human Development have shown, the advantage is more in delaying their admission than in the number of the later admissions. With the use of wards and 24-hour care, the initial short stay at your child's hospital does not seem to produce increased costs or increased mortality, even if this benefit is not seen in the early period when the child's health is being evaluated both by parents, caregivers and the child. Indeed, after a few nights in the hospital, studies of the results of those who were admitted after that initial low day showed that their long-term health outcomes generally improved considerably, while their overall life expectancy was almost exactly the same as those who had not been admitted to the hospital in the first place. In contrast, studies of the results of those who had been admitted from the first day after birth found that those who were admitted for the first time got sick in the hospital, and died, more often than those admitted from the second day on. In my opinion, the studies indicate that in some children admitted to the hospital, the advantages of wards and 24-hour care often outweigh the costs of the services and are often worth the expense. What does not seem to always work in the long run is the so-called ""day hospital"" approach, where a full day's stay is usually spent in the ward or on the ward floor or in the waiting room, and a few hours every day is spent on the child's bed. This approach tends never to work and is, in my opinion, counterproductive and harmful. Day hospitals are an obvious source of long-term problems"
