ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,label
11,3,3,24,0,10,5,4,0,3,4,4,10,0.029173419773095625,38.35,13.9,5.278350515463917,26.5,1.0198078155517578,1.1503770351409912,0.9706557393074036,0.979158878326416,0
6,2,0,7,0,6,2,2,0,1,2,1,4,0.025974025974025976,52.19,10.7,5.0,21.0,1.0846320390701294,1.0539275407791138,0.971264123916626,0.9772228598594666,0
3,0,0,3,0,0,0,1,0,1,0,1,1,0.013513513513513514,68.77,6.4,5.545454545454546,14.0,1.0212621688842773,1.0212621688842773,0.9864382743835449,0.0,0
12,3,1,18,1,7,1,3,2,1,0,1,5,0.02364066193853428,42.0,12.5,5.415384615384616,25.0,1.0045322179794312,1.0102720260620117,0.9742912650108337,0.9712694883346558,0
12,5,0,34,0,14,8,6,1,0,0,1,6,0.013959390862944163,28.33,13.7,6.224299065420561,20.666666666666668,1.0832828283309937,1.078211526075999,0.9652389287948608,0.9764697074890136,0
5,1,2,6,0,4,2,1,0,2,1,0,1,0.016304347826086956,25.12,17.0,5.275862068965517,32.0,1.0040370225906372,1.0040370225906372,0.9765176773071289,0.0,0
14,4,4,34,1,8,5,2,0,1,3,6,2,0.0032258064516129032,1.94,23.8,5.9772727272727275,48.0,1.0081818103790283,1.00661301612854,0.9693474769592285,0.9744390249252319,0
9,0,4,27,0,7,3,3,1,1,3,4,3,0.012711864406779662,23.05,15.7,5.768115942028985,25.333333333333332,1.1898285150527954,1.2543957630793254,0.9616418480873108,0.9836041331291199,0
4,0,0,4,0,2,0,1,0,0,1,0,1,0.00909090909090909,22.41,13.9,6.333333333333333,16.0,1.0014095306396484,1.0014095306396484,0.9780323505401611,0.0,0
11,2,2,13,1,3,0,3,1,1,1,2,4,0.009836065573770493,54.52,9.8,4.9411764705882355,18.333333333333332,1.0974758863449097,1.1534607410430908,0.9769855737686157,0.9781940877437592,0
4,2,2,24,0,5,1,2,0,0,2,1,1,0.01881720430107527,34.09,15.6,5.491228070175438,30.0,1.1750513315200806,1.0748761892318726,0.9542086124420166,0.9821780323982239,0
5,1,1,13,0,8,3,2,0,2,0,0,0,0.006535947712418301,-0.1,18.4,6.365853658536586,23.0,1.0004956722259521,1.0003318190574646,0.9712792038917542,0.9841760993003845,0
2,1,3,11,0,6,1,2,0,0,3,2,1,0.08502024291497975,43.22,12.1,5.125,22.0,1.0026220083236694,1.0027034282684326,0.9795336723327637,0.9779033064842224,0
5,0,1,20,1,6,1,3,2,0,0,2,2,0.018404907975460124,30.16,13.0,5.551020408163265,19.0,1.1404484510421753,1.2882696787516277,0.9635398983955383,0.9617103636264801,0
4,3,1,14,0,3,0,2,0,1,1,0,0,0.045081967213114756,28.84,13.5,6.117647058823529,18.5,1.7766001224517822,1.582871675491333,0.9813099503517151,0.9829577207565308,0
