ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,label
11,3,3,24,0,10,5,4,0,3,4,4,10,0.02917342,38.35,13.9,5.278350515,26.5,1.019807816,1.150377035,0.970655739,0.979158878,0
6,2,0,7,0,6,2,2,0,1,2,1,4,0.025974026,52.19,10.7,5.0,21.0,1.084632039,1.053927541,0.971264124,0.97722286,0
3,0,0,3,0,0,0,1,0,1,0,1,1,0.013513514,68.77,6.4,5.545454545,14.0,1.021262169,1.021262169,0.986438274,0.0,0
12,3,1,18,1,7,1,3,2,1,0,1,5,0.023640662,42.0,12.5,5.415384615,25.0,1.004532218,1.010272026,0.974291265,0.971269488,0
12,5,0,34,0,14,8,6,1,0,0,1,6,0.013959391,28.33,13.7,6.224299065,20.66666667,1.083282828,1.078211526,0.965238929,0.976469707,0
5,1,2,6,0,4,2,1,0,2,1,0,1,0.016304348,25.12,17.0,5.275862069,32.0,1.004037023,1.004037023,0.976517677,0.0,0
14,4,4,34,1,8,5,2,0,1,3,6,2,0.003225806,1.94,23.8,5.977272727,48.0,1.00818181,1.006613016,0.969347477,0.974439025,0
9,0,4,27,0,7,3,3,1,1,3,4,3,0.012711864,23.05,15.7,5.768115942,25.33333333,1.189828515,1.254395763,0.961641848,0.983604133,0
4,0,0,4,0,2,0,1,0,0,1,0,1,0.009090909,22.41,13.9,6.333333333,16.0,1.001409531,1.001409531,0.978032351,0.0,0
11,2,2,13,1,3,0,3,1,1,1,2,4,0.009836066,54.52,9.8,4.941176471,18.33333333,1.097475886,1.153460741,0.976985574,0.978194088,0
4,2,2,24,0,5,1,2,0,0,2,1,1,0.018817204,34.09,15.6,5.49122807,30.0,1.175051332,1.074876189,0.954208612,0.982178032,0
5,1,1,13,0,8,3,2,0,2,0,0,0,0.006535948,-0.1,18.4,6.365853659,23.0,1.000495672,1.000331819,0.971279204,0.984176099,0
2,1,3,11,0,6,1,2,0,0,3,2,1,0.085020243,43.22,12.1,5.125,22.0,1.002622008,1.002703428,0.979533672,0.977903306,0
5,0,1,20,1,6,1,3,2,0,0,2,2,0.018404908,30.16,13.0,5.551020408,19.0,1.140448451,1.288269679,0.963539898,0.961710364,0
4,3,1,14,0,3,0,2,0,1,1,0,0,0.045081967,28.84,13.5,6.117647059,18.5,1.776600122,1.582871675,0.98130995,0.982957721,0
6,0,1,4,0,1,0,1,0,1,1,0,0,0.032520325,20.38,14.6,6.235294118,18.0,1.000411749,1.000411749,0.978850365,0.0,0
8,1,3,20,0,5,1,3,2,2,5,1,5,0.041463415,48.43,12.1,4.746478873,25.66666667,1.004716516,1.002014716,0.971683204,0.982521862,0
2,0,0,6,0,2,0,1,0,0,1,0,0,0.009615385,47.79,10.3,5.933333333,16.0,1.004826307,1.004826307,0.978848755,0.0,0
2,1,2,3,0,2,0,1,0,1,1,0,0,0.027777778,62.68,8.7,5.352941176,18.0,1.011094809,1.011094809,0.984295785,0.0,0
10,0,1,8,0,4,0,2,0,0,2,1,1,0.040983607,4.98,16.4,6.59375,17.5,1.000401497,1.001930654,0.973714948,0.983393073,0
4,3,2,19,1,5,0,3,0,2,1,5,3,0.008695652,36.59,12.6,5.452830189,19.0,1.053952575,1.009488344,0.984090626,0.9754363,0
4,0,2,11,1,3,2,2,0,0,2,1,0,0.043103448,21.4,14.3,6.15625,18.0,1.007784009,1.010274172,0.984618127,0.977925181,0
6,5,2,12,0,4,2,2,2,0,1,0,0,0.026936027,17.34,15.8,6.0,24.0,1.002989888,1.388265073,0.974037409,0.970898211,0
4,9,2,5,0,5,2,2,0,0,0,0,0,0.07079646,29.35,13.3,5.757575758,18.5,1.085830927,1.136867166,0.987730801,0.980988801,0
13,3,2,14,0,6,2,3,2,0,2,2,1,0.007537688,19.06,15.1,5.912280702,21.33333333,1.003741741,1.030744871,0.98209548,0.961322457,0
8,1,1,16,0,5,0,2,0,2,5,4,5,0.006451613,44.07,13.8,4.722222222,28.0,1.205274224,1.264765799,0.96318996,0.985954642,0
9,1,1,11,1,2,3,1,0,0,0,4,2,0.003184713,1.44,24.0,6.068181818,48.0,1.008095145,1.008095145,0.984830081,0.0,0
5,0,0,4,0,1,0,1,1,1,0,0,0,0.056910569,12.94,15.4,6.235294118,19.0,1.002605319,1.002605319,0.99569267,0.0,0
5,0,1,3,0,2,1,1,0,0,0,0,0,0.00862069,37.3,12.3,5.764705882,19.0,1.004903197,1.004903197,0.970661938,0.0,0
4,1,3,30,2,3,1,2,0,2,3,2,3,0.058823529,54.9,13.8,4.298507463,35.5,1.578364611,1.141250968,0.974196792,0.99204731,0
2,0,1,7,0,4,0,1,0,0,1,2,1,0.039473684,36.63,14.6,4.846153846,27.0,1.100575089,1.100575089,0.969695985,0.0,0
3,0,1,4,0,3,1,1,0,0,0,0,1,0.015503876,58.62,10.3,5.095238095,23.0,1.848995924,1.848995924,0.978959918,0.0,0
11,1,1,14,0,3,0,3,0,1,2,3,1,0.009090909,21.4,14.3,5.833333333,17.0,1.001070499,1.001273513,0.970667183,0.981784999,0
3,0,1,8,0,3,0,1,1,0,1,2,0,0.006849315,50.16,11.5,5.636363636,24.0,1.025656462,1.025656462,0.968163431,0.0,0
5,1,0,5,0,5,1,2,0,0,1,1,4,0.02173913,52.7,10.5,5.162162162,20.0,1.031023383,1.028399348,0.979677439,0.969539583,0
12,0,3,17,0,5,2,2,0,2,3,2,1,0.015584416,23.6,17.5,5.161290323,33.5,1.565400481,1.304056883,0.982155681,0.983076692,0
3,1,1,10,0,2,1,1,3,0,1,0,1,0.040229885,43.06,14.2,4.580645161,36.0,1.012376308,1.012376308,0.974606633,0.0,0
4,3,0,17,1,8,1,3,4,0,1,3,1,0.008746356,36.59,12.6,4.964912281,21.66666667,1.007073283,1.002528866,0.974087954,0.981523424,0
9,1,2,18,0,4,1,2,3,0,2,3,4,0.023391813,14.29,17.0,5.93877551,27.5,1.009465694,1.004353046,0.975368738,0.987083256,0
6,1,0,6,0,1,1,1,0,0,2,1,1,0.051612903,29.18,15.4,4.923076923,29.0,1.000615716,1.000615716,0.978905201,0.0,0
7,4,4,16,0,5,2,2,0,0,1,2,2,0.044444444,28.67,15.6,6.0,27.5,1.179054618,1.119031668,0.987656951,0.96573478,0
7,2,0,8,0,3,0,1,0,0,0,0,0,0.00456621,-8.73,21.7,6.551724138,30.0,1.012633204,1.012633204,0.989173472,0.0,0
3,1,0,6,1,2,0,1,0,0,1,1,1,0.007874016,27.83,13.9,6.0,20.0,1.013080597,1.013080597,0.977764845,0.0,0
7,0,3,14,0,6,1,2,1,1,0,3,1,0.047021944,29.69,15.2,5.34,27.0,1.003799558,1.009207785,0.972813785,0.984700084,0
3,1,2,27,1,10,2,3,0,3,3,2,3,0.00591716,14.29,17.0,6.275362319,25.0,1.007088184,1.022566319,0.974362493,0.977442503,0
5,1,0,6,0,2,0,2,1,1,1,0,0,0.014388489,4.14,14.7,7.117647059,10.0,1.001284957,1.000703335,0.983236551,0.970231473,0
12,1,1,14,0,2,1,2,0,2,0,2,4,0.00867052,21.23,16.4,5.9,26.5,1.010913491,1.014088511,0.942276418,0.977468848,0
8,1,1,9,0,3,1,2,0,0,1,1,1,0.008849558,53.71,10.1,5.4,19.0,1.006847262,1.004162252,0.980194211,0.977831721,0
3,1,0,11,0,6,0,3,0,1,3,0,0,0.074906367,33.61,11.6,6.162162162,13.33333333,1.004889488,1.008996964,0.982873976,0.981940001,0
6,0,2,14,1,2,5,1,0,1,0,2,1,0.015444015,24.45,19.3,5.657894737,45.0,1.78958571,1.78958571,0.977977157,0.0,0
1,0,0,3,0,1,0,1,0,0,1,1,1,0.025641026,58.28,8.4,5.0,14.0,1.539641261,1.539641261,0.997129858,0.0,0
6,3,2,15,0,4,3,2,0,0,2,5,5,0.051428571,18.69,17.4,5.290909091,30.5,1.018011451,1.087115943,0.966080248,0.984268248,0
8,5,1,14,0,3,3,2,1,1,1,3,2,0.00617284,30.7,14.8,5.666666667,27.0,1.003999114,1.002735853,0.97143513,0.989271879,0
1,0,0,4,0,1,0,1,0,0,0,1,0,0.014705882,-4.33,15.9,6.666666667,10.0,2.102462292,2.102462292,0.979563355,0.0,0
8,1,1,13,0,1,0,2,1,1,1,3,3,0.0078125,18.86,15.2,5.710526316,20.5,1.002651453,1.001214981,0.972121477,0.980894268,0
5,5,2,9,0,5,1,2,1,0,1,1,2,0.022727273,15.31,16.6,5.8,24.5,1.007458448,1.020063818,0.977655351,0.984908104,0
3,0,0,5,0,3,1,1,0,1,0,2,1,0.027586207,24.78,15.0,5.857142857,23.0,1.004487514,1.004487514,0.982491612,0.0,0
1,0,0,5,0,2,0,1,0,0,3,2,2,0.081481481,55.58,11.5,4.625,25.0,1.156303763,1.156303763,0.975081921,0.0,0
11,3,5,17,0,9,4,3,0,1,1,4,4,0.067924528,27.15,16.2,5.365853659,30.66666667,1.173091531,1.112413923,0.955877304,0.981889576,0
4,1,1,12,0,4,0,2,0,0,1,1,4,0.019762846,43.73,11.9,5.631578947,20.0,1.005216599,1.00424999,0.971520722,0.981092453,0
8,3,1,8,0,2,2,2,0,1,0,3,3,0.027874564,40.18,13.2,5.311111111,24.5,1.059141278,1.019622028,0.955299377,0.982097149,0
6,2,0,16,1,3,1,2,0,2,1,3,2,0.040935673,44.58,13.6,5.181818182,30.0,1.013275862,1.189590931,0.981813431,0.985676348,0
8,2,2,13,1,2,3,2,0,0,1,3,0,0.007434944,42.72,12.3,5.625,22.5,1.009071469,1.007374823,0.973174334,0.982123077,0
10,1,5,18,2,7,0,4,0,2,3,1,2,0.018348624,21.9,14.1,5.703125,18.0,1.185084581,1.082954317,0.969397604,0.962589681,0
7,2,2,18,1,9,3,3,1,1,1,2,3,0.039534884,25.49,14.7,5.85483871,23.0,1.131137371,1.043671608,0.972230375,0.985683739,0
9,3,3,18,0,4,4,2,1,0,1,1,2,0.00530504,26.64,16.4,5.543859649,32.0,1.115102172,1.053521216,0.958199501,0.979283094,0
4,0,2,8,0,6,1,2,0,1,0,2,2,0.014652015,34.26,13.5,5.775,21.5,1.020682454,1.005396187,0.983602345,0.985661268,0
3,0,1,11,1,2,1,1,2,2,1,1,1,0.022988506,25.12,17.0,4.580645161,35.0,1.018843174,1.018843174,0.987328887,0.0,0
2,0,0,6,0,1,1,1,0,0,0,2,3,0.034482759,59.64,9.9,4.75,22.0,1.000546098,1.000546098,0.97082001,0.0,0
1,2,3,13,0,7,0,3,0,0,0,1,1,0.01048951,49.52,9.7,6.1,14.33333333,1.004555583,1.018191059,0.980891645,0.97308895,0
8,1,2,14,0,4,1,3,0,2,1,0,0,0.009584665,47.49,10.4,5.739130435,16.66666667,1.148344278,1.031800469,0.977742136,0.980934173,0
6,0,2,13,0,3,2,1,0,2,1,3,2,0.00729927,-2.97,23.6,5.8,43.0,1.002001405,1.002001405,0.976901412,0.0,0
10,4,1,18,3,3,0,3,1,2,2,2,2,0.018561485,17.34,15.8,6.032786885,21.66666667,1.101524472,1.082992474,0.98244077,0.982464641,0
7,2,2,22,0,7,6,4,2,1,1,4,9,0.020618557,43.93,11.8,5.181818182,22.25,1.209660649,1.236580312,0.980787635,0.978493392,0
14,0,1,16,0,9,1,3,2,1,0,2,1,0.021834061,9.59,16.7,6.583333333,22.0,1.169462919,1.209962885,0.977858305,0.985316128,0
5,1,1,11,0,2,1,2,0,1,1,3,1,0.050458716,36.28,12.7,5.0,19.5,1.001009941,1.001114488,0.988694727,0.985606909,0
6,0,5,15,0,4,1,2,1,0,0,2,3,0.007272727,33.24,13.8,5.348837209,23.5,1.101154685,1.027655244,0.978059411,0.984205008,0
1,2,1,4,1,2,1,1,0,0,0,2,0,0.031914894,54.22,9.9,4.411764706,20.0,1.418555856,1.418555856,0.975185692,0.0,0
6,5,5,19,0,4,5,3,0,0,1,1,3,0.065420561,17.34,15.8,6.016666667,22.66666667,1.031497359,1.049641212,0.984576523,0.984873772,0
4,0,2,11,0,4,0,1,0,2,1,2,0,0.057416268,36.97,16.6,5.147058824,35.0,1.006358027,1.006358027,0.987294555,0.0,0
5,1,3,21,3,8,5,3,4,4,0,0,0,0.022058824,51.89,10.8,5.467741935,24.66666667,1.172543883,1.065381487,0.908882797,0.953392506,0
4,1,0,10,0,3,0,2,0,0,0,2,1,0.010695187,25.46,12.7,6.75,13.0,1.109552145,1.021713912,0.981662333,0.976329803,0
2,0,1,11,0,3,0,2,1,0,4,3,1,0.056277056,37.3,12.3,5.571428571,19.0,1.010843277,1.006446123,0.989023805,0.98657161,0
8,1,2,16,0,5,1,2,0,0,0,1,2,0.023529412,22.24,16.0,6.191489362,25.0,1.358228683,1.341471314,0.971829593,0.986944437,0
23,2,4,29,0,11,0,7,1,3,4,6,3,0.00879397,37.4,12.2,5.638655462,18.14285714,1.002637267,1.002433283,0.965294302,0.973265578,0
9,8,4,21,0,10,1,3,0,0,0,2,3,0.005504587,4.1,18.8,6.324324324,26.0,1.001675487,1.017352303,0.977782547,0.972080618,0
13,0,3,25,3,6,5,3,1,2,1,5,1,0.005576208,13.99,17.1,6.478873239,26.66666667,1.026388168,1.014598449,0.93748492,0.984214634,0
9,1,3,15,0,1,3,2,1,0,1,3,1,0.017605634,48.64,12.1,5.086956522,26.0,1.449225187,1.308759868,0.955002964,0.975136817,0
7,2,1,13,0,3,2,2,0,2,1,1,0,0.008,27.83,13.9,5.861111111,20.0,1.004007816,1.006947935,0.985294521,0.962381423,0
6,0,1,7,0,2,1,1,0,2,0,1,0,0.005128205,26.14,16.6,5.928571429,30.0,1.000954866,1.000954866,0.988406718,0.0,0
3,1,0,9,0,4,1,1,0,1,2,1,1,0.077777778,18.69,17.4,5.172413793,33.0,1.000727773,1.000727773,0.96295017,0.0,0
7,0,0,5,1,2,0,2,1,0,0,3,0,0.067264574,56.11,7.1,5.083333333,21.5,1.00237596,1.004015684,0.979895175,0.98728919,0
