ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,tf_idfs_get,tf_idfs_like,tf_idfs_sum,tf_idfs_summary,tf_idfs_overall,tf_idfs_summarize,tf_idfs_dont,tf_idfs_say,tf_idfs_im,tf_idfs_look,tf_idfs_said,tf_idfs_know,tf_idfs_think,tf_idfs_summarise,tf_idfs_end,tf_idfs_conclude,tf_idfs_told,tf_idfs_conclusion,tf_idfs_finale,label
11,3,3,24,0,10,5,4,0,3,4,4,10,0.029173419773095625,38.35,13.9,5.278350515463917,26.5,1.0198078155517578,1.1503770351409912,0.9706557393074036,0.9791589180628458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2,0,7,0,6,2,2,0,1,2,1,4,0.025974025974025976,52.19,10.7,5.0,21.0,1.0846320390701294,1.0539275407791138,0.9712640643119812,0.9772226810455322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0,0,3,0,0,0,1,0,1,0,1,1,0.013513513513513514,68.77,6.4,5.545454545454546,14.0,1.0212621688842773,1.0212621688842773,0.9864380955696106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,3,1,18,1,7,1,3,2,1,0,1,5,0.02364066193853428,42.0,12.5,5.415384615384616,25.0,1.0045322179794312,1.0102720260620117,0.9742911458015442,0.9712693989276886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
12,5,0,34,0,14,8,6,1,0,0,1,6,0.013959390862944163,28.33,13.7,6.224299065420561,20.666666666666668,1.0832828283309937,1.078211526075999,0.9652390480041504,0.9764697074890136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1,2,6,0,4,2,1,0,2,1,0,1,0.016304347826086956,25.12,17.0,5.275862068965517,32.0,1.0040370225906372,1.0040370225906372,0.9765178561210632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,4,4,34,1,8,5,2,0,1,3,6,2,0.0032258064516129032,1.94,23.8,5.9772727272727275,48.0,1.0081818103790283,1.00661301612854,0.9693475365638733,0.9744391441345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0,4,27,0,7,3,3,1,1,3,4,3,0.012711864406779662,23.05,15.7,5.768115942028985,25.333333333333332,1.1898285150527954,1.2543957630793254,0.9616418480873108,0.9836041629314423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0,0,4,0,2,0,1,0,0,1,0,1,0.00909090909090909,22.41,13.9,6.333333333333333,16.0,1.0014095306396484,1.0014095306396484,0.9780324101448059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2,2,13,1,3,0,3,1,1,1,2,4,0.009836065573770493,54.52,9.8,4.9411764705882355,18.333333333333332,1.0974758863449097,1.1534607410430908,0.9769856333732605,0.9781940579414368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
