ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,tf_idfs_looked,tf_idfs_finale,tf_idfs_summary,tf_idfs_eye,tf_idfs_hand,tf_idfs_black,tf_idfs_said,tf_idfs_summarise,tf_idfs_end,tf_idfs_door,tf_idfs_knew,tf_idfs_face,tf_idfs_overall,tf_idfs_sum,tf_idfs_summarize,tf_idfs_conclude,tf_idfs_suggest,label
11,3,3,24,0,10,5,4,0,3,4,4,10,0.02917342,38.35,13.9,5.278350515,26.5,1.019807816,1.150377035,0.970655739,0.979158918,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,2,0,7,0,6,2,2,0,1,2,1,4,0.025974026,52.19,10.7,5,21,1.084632039,1.053927541,0.971264064,0.977222681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,3,0,0,0,1,0,1,0,1,1,0.013513514,68.77,6.4,5.545454545,14,1.021262169,1.021262169,0.986438096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,1,18,1,7,1,3,2,1,0,1,5,0.023640662,42,12.5,5.415384615,25,1.004532218,1.010272026,0.974291146,0.971269399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,0,34,0,14,8,6,1,0,0,1,6,0.013959391,28.33,13.7,6.224299065,20.66666667,1.083282828,1.078211526,0.965239048,0.976469707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,2,6,0,4,2,1,0,2,1,0,1,0.016304348,25.12,17,5.275862069,32,1.004037023,1.004037023,0.976517856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,4,34,1,8,5,2,0,1,3,6,2,0.003225806,1.94,23.8,5.977272727,48,1.00818181,1.006613016,0.969347537,0.974439144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,4,27,0,7,3,3,1,1,3,4,3,0.012711864,23.05,15.7,5.768115942,25.33333333,1.189828515,1.254395763,0.961641848,0.983604163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4,0,2,0,1,0,0,1,0,1,0.009090909,22.41,13.9,6.333333333,16,1.001409531,1.001409531,0.97803241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,13,1,3,0,3,1,1,1,2,4,0.009836066,54.52,9.8,4.941176471,18.33333333,1.097475886,1.153460741,0.976985633,0.978194058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
